company,company_stage,country,days_since_layoff,Sum of funds_raised_million,Sum of id,industry,Sum of laid_off,Year,Quarter,Month,Day,Sum of layoff_day,Sum of layoff_month,layoff_percentage,Sum of layoff_quarter,layoff_severity,Sum of layoff_year,location_city,location_region,news_source_url,Year,Quarter,Month,Day
Eden / Managed By Q,Series B,United States,1915,40,3860,Real Estate,40,2020,Qtr 2,April,8,8,4,40%,2,Normal,2020,New York City,,https://layoffs.fyi/2020/04/08/remainder-of-managed-by-q-team-furloughed-or-laid-off-by-eden/,2020,Qtr 2,April,8
Edgio,Post-IPO,United States,489,462,592,Infrastructure,80,2024,Qtr 1,March,4,4,3,10%,1,Normal,2024,Phoenix,,https://investors.edg.io/node/13996/html,2024,Qtr 1,March,8
Edgio,Post-IPO,United States,761,462,1384,Infrastructure,134,2023,Qtr 2,June,6,6,6,12%,2,Normal,2023,Phoenix,,https://investors.edg.io/static-files/829cb878-ba70-4965-bb63-3c4629781a41https://seekingalpha.com/news/3978762-edgio-to-cut-12-of-its-workforce-to-reduce-cost,2023,Qtr 2,June,10
Edgio,Post-IPO,United States,936,462,2230,Infrastructure,95,2022,Qtr 4,December,13,13,12,10%,4,Normal,2022,Phoenix,,https://www.marketscreener.com/amp/quote/stock/EDGIO-INC-52799/news/EDGIO-INC-Costs-Associated-with-Exit-or-Disposal-Activities-Change-in-Directors-or-Principal-Of-42549605/,2022,Qtr 4,December,15
eGym,Series D,Germany,1921,109,3932,Fitness,100,2020,Qtr 2,April,2,2,4,25%,2,Normal,2020,Munich,Non-U.S.,https://www.tz.de/muenchen/stadt/muenchen-ort29098/corona-muenchen-kuendigung-video-videocall-start-up-mitarbeiter-erklaerung-firma-13637702.html,2020,Qtr 2,April,20
Eightfold AI,Series E,United States,884,396,1871,HR,90,2023,Qtr 1,February,3,3,2,15%,1,Normal,2023,SF Bay Area,,https://www.nytimes.com/2023/03/13/business/ai-hiring-jobs.html,2023,Qtr 1,March,25
Electric,Series D,United States,874,212,1812,Other,141,2023,Qtr 1,February,13,13,2,25%,1,Normal,2023,New York City,,https://www.electric.ai/blog/open-letter-feb-2023,2023,Qtr 1,February,14
Electronic Arts,Post-IPO,United States,494,2,601,Consumer,670,2024,Qtr 1,February,28,28,2,5%,1,Normal,2024,SF Bay Area,,https://www.cnbc.com/2024/02/28/ea-layoffs-company-to-cut-5percent-of-workforce-or-about-670-employees.html,2024,Qtr 1,February,29
Electronic Arts,Post-IPO,United States,830,2,1619,Consumer,780,2023,Qtr 1,March,29,29,3,6%,1,Normal,2023,SF Bay Area,,https://www.wsj.com/articles/electronic-arts-says-it-is-laying-off-6-of-workforce-d9c2b7e1?mod=djemalertNEWS,2023,Qtr 1,March,30
Element AI,Series B,Canada,1889,257,3690,Other,62,2020,Qtr 2,May,4,4,5,15%,2,Normal,2020,Montreal,Non-U.S.,https://www.theglobeandmail.com/business/article-element-ai-cuts-staff-adds-senior-executives-as-it-attempts-to-live/,2020,Qtr 2,May,7
Elementor,Unknown,Israel,1117,65,3182,Media,60,2022,Qtr 2,June,15,15,6,15%,2,Normal,2022,Tel Aviv,Non-U.S.,https://en.globes.co.il/en/article-elementor-begins-laying-off-15-of-workforce-1001415176,2022,Qtr 2,June,16
Elinvar,Unknown,Germany,989,30,2593,Finance,43,2022,Qtr 4,October,21,21,10,33%,4,Normal,2022,Berlin,Non-U.S.,https://financefwd.com/de/elinvar-entlassungen-funding/,2022,Qtr 4,October,24
Embark Trucks,Post-IPO,United States,856,317,1706,Transportation,230,2023,Qtr 1,March,3,3,3,70%,1,Normal,2023,SF Bay Area,,https://techcrunch.com/2023/03/03/embark-trucks-lays-off-workers-explores-liquidation-of-self-driving-truck-assets/,2023,Qtr 1,March,4
Embroker,Series C,United States,985,142,2580,Finance,30,2022,Qtr 4,October,25,25,10,12%,4,Normal,2022,SF Bay Area,,https://www.theinsurer.com/news/insurtech-embroker-lays-off-12-of-global-workforce/25922.article,2022,Qtr 4,October,27
Emotive,Series B,United States,1095,78,3046,Marketing,30,2022,Qtr 3,July,7,7,7,18%,3,Normal,2022,Los Angeles,,https://dot.la/emotive-layoffs-2657628462.html,2022,Qtr 3,July,8
Enjoei,Unknown,Brazil,898,14,2005,Retail,31,2023,Qtr 1,January,20,20,1,10%,1,Normal,2023,Sao Paulo,Non-U.S.,"https://www.terra.com.br/economia/dinheiro-em-dia/meu-negocio/depois-do-ipo-e-da-queda-enjoei-faz-a-sua-demissao-em-massa,e1d6c15174934d1010733071113dff43zabh1zv5.html",2023,Qtr 1,January,24
Enjoy,Post-IPO,United States,1102,310,3079,Retail,400,2022,Qtr 2,June,30,30,6,18%,2,Normal,2022,SF Bay Area,,https://news.crunchbase.com/public/bankruptcy-enjoy-apple-ron-johnson/,2022,Qtr 3,July,1
Enovix,Post-IPO,United States,426,516,492,Energy,170,2024,Qtr 2,May,6,6,5,33%,2,Normal,2024,SF Bay Area,,https://www.theinformation.com/articles/battery-developer-enovix-lays-off-roughly-one-third-of-staff,2024,Qtr 2,May,7
Enphase Energy,Post-IPO,United States,237,116,219,Energy,500,2024,Qtr 4,November,11,11,11,17%,4,Normal,2024,SF Bay Area,,https://www.sfgate.com/tech/article/enphase-energy-layoffs-workers-solar-19907535.php,2024,Qtr 4,November,12
Enphase Energy,Post-IPO,United States,566,116,812,Energy,350,2023,Qtr 4,December,18,18,12,10%,4,Normal,2023,SF Bay Area,,https://enphase.com/blog/employees/dec-2023-message-from-our-ceo,2023,Qtr 4,December,19
Envoy,Series B,United States,1909,59,3818,HR,58,2020,Qtr 2,April,14,14,4,30%,2,Normal,2020,SF Bay Area,,https://www.forbes.com/sites/alexandrawilson1/2020/04/15/smart-office-startup-envoy-furloughs-and-lays-off-30-of-employees-cuts-salaries-of-others/#e0729a7b94cf,2020,Qtr 2,April,16
Epic Games,Unknown,United States,647,6400,1018,Consumer,870,2023,Qtr 3,September,28,28,9,16%,3,Normal,2023,Raleigh,,https://techcrunch.com/2023/09/28/fortnite-maker-epic-games-is-laying-off-16-of-its-workforce/,2023,Qtr 3,September,29
Equitybee,Series B,United States,879,85,1847,Finance,24,2023,Qtr 1,February,8,8,2,25%,1,Normal,2023,SF Bay Area,,https://www.calcalistech.com/ctechnews/article/h1jkvzwpo,2023,Qtr 1,February,9
Equitybee,Series B,United States,979,85,2560,Finance,25,2022,Qtr 4,October,31,31,10,20%,4,Normal,2022,SF Bay Area,,https://www.calcalistech.com/ctechnews/article/hkrqontns,2022,Qtr 4,October,31
EquityZen,Series B,United States,979,11,2559,Finance,30,2022,Qtr 4,October,31,31,10,27%,4,Normal,2022,New York City,,https://www.axios.com/2022/10/31/scoop-layoffs-hit-startup-stock-marketplace-equityzen,2022,Qtr 4,November,1
Ericsson,Post-IPO,Sweden,863,663,1743,Other,8500,2023,Qtr 1,February,24,24,2,8%,1,Major,2023,Stockholm,Non-U.S.,https://www.reuters.com/business/media-telecom/ericsson-lay-off-8500-employees-memo-2023-02-24/,2023,Qtr 1,February,24
Ermetic,Series B,United States,895,97,1992,Security,30,2023,Qtr 1,January,23,23,1,17%,1,Normal,2023,SF Bay Area,,https://www.calcalistech.com/ctechnews/article/h1abeu2io,2023,Qtr 1,January,25
Eroad,Unknown,New Zealand,709,46,1194,Transportation,200,2023,Qtr 3,July,28,28,7,31%,3,Normal,2023,Auckland,Non-U.S.,https://businessdesk.co.nz/article/markets/eroad-investors-grill-management-on-buyout-offer,2023,Qtr 3,August,1
Ethos Life,Series C,United States,1857,106,3580,Finance,18,2020,Qtr 2,June,5,5,6,14%,2,Normal,2020,SF Bay Area,,https://coverager.com/layoffs-at-ethos/,2020,Qtr 2,June,6
Ethos Life,Series D,United States,1108,406,3128,Finance,40,2022,Qtr 2,June,24,24,6,12%,2,Normal,2022,SF Bay Area,,https://www.coverager.com/ethos-lays-off-40-employees/,2022,Qtr 2,June,26
eToro,Unknown,Israel,1097,322,3057,Finance,100,2022,Qtr 3,July,5,5,7,6%,3,Normal,2022,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/ryoxm611sc,2022,Qtr 3,July,5
Etsy,Post-IPO,United States,571,97,829,Retail,225,2023,Qtr 4,December,13,13,12,11%,4,Normal,2023,New York City,,https://www.cnbc.com/2023/12/13/etsy-laying-off-11percent-of-staff-citing-competitive-environment.html,2023,Qtr 4,December,13
Eucalyptus,Series C,United States,1080,69,2957,Healthcare,50,2022,Qtr 3,July,22,22,7,20%,3,Normal,2022,Sydney,Non-U.S.,https://www.news.com.au/finance/business/other-industries/australian-healthcare-startup-fires-20-per-cent-of-staff/news-story/c582a96f5cc55a99962c2c79aa7033a9,2022,Qtr 3,July,28
Eventbrite,Post-IPO,United States,1915,332,3853,Consumer,500,2020,Qtr 2,April,8,8,4,45%,2,Normal,2020,SF Bay Area,,https://layoffs.fyi/2020/04/13/eventbrite-laid-off-500-employees/,2020,Qtr 2,April,9
Eventbrite,Post-IPO,United States,333,557,355,Consumer,100,2024,Qtr 3,August,7,7,8,11%,3,Normal,2024,SF Bay Area,,https://www.marketwatch.com/story/eventbrite-to-about-100-jobs-reducing-headcount-by-11-a5daf94b,2024,Qtr 3,August,8
Eventbrite,Post-IPO,United States,859,557,1731,Consumer,80,2023,Qtr 1,February,28,28,2,8%,1,Normal,2023,SF Bay Area,,https://www.reuters.com/markets/us/ticketing-service-provider-eventbrite-lay-off-8-workforce-2023-02-28/,2023,Qtr 1,March,1
EverC,Unknown,Israel,354,61,382,Security,16,2024,Qtr 3,July,17,17,7,10%,3,Normal,2024,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/bjrddqr00r,2024,Qtr 3,July,18
Everlane,Unknown,United States,913,176,2163,Retail,30,2023,Qtr 1,January,5,5,1,17%,1,Normal,2023,SF Bay Area,,https://www.theinformation.com/articles/everlane-slashes-17-of-corporate-employees,2023,Qtr 1,January,6
Evolve,Series F,United States,663,224,1051,Travel,175,2023,Qtr 3,September,12,12,9,20%,3,Normal,2023,Denver,,https://skift.com/2023/09/13/property-manager-evolve-lays-off-20-of-its-workforce/amp/,2023,Qtr 3,September,14
Evolve,Series F,United States,769,224,1418,Travel,164,2023,Qtr 2,May,29,29,5,14%,2,Normal,2023,Denver,,https://skift.com/blog/evolve-lays-off-14-percent-of-its-staff/,2023,Qtr 3,September,14
Examedi,Unknown,Chile,817,19,1576,Healthcare,45,2023,Qtr 2,April,11,11,4,25%,2,Normal,2023,Santiago,Non-U.S.,https://contxto.com/en/startups-es/this-week-in-startups-softbank-shakeups-krans-funding-round-and-layoffs-at-examedi/,2023,Qtr 2,April,17
Exodus,Unknown,United States,975,60,2518,Crypto,59,2022,Qtr 4,November,4,4,11,22%,4,Normal,2022,Nebraska City,,https://www.exodus.com/news/exodus-restructure/,2022,Qtr 4,November,12
Exotel,Series D,India,901,87,2059,Support,142,2023,Qtr 1,January,17,17,1,15%,1,Normal,2023,Bengaluru,Non-U.S.,https://inc42.com/buzz/exclusive-saas-startup-exotel-lays-off-142-employees-amid-biz-restructuring/,2023,Qtr 1,January,18
Expedia,Post-IPO,United States,496,3300,610,Travel,1500,2024,Qtr 1,February,26,26,2,8%,1,Major,2024,Seattle,,https://www.geekwire.com/2024/expedia-group-cutbacks-will-impact-1500-roles-this-year-more-than-8-of-workforce/,2024,Qtr 1,February,27
Expel,Series E,United States,758,288,1369,Security,60,2023,Qtr 2,June,9,9,6,10%,2,Normal,2023,Washington D.C.,,https://expel.com/blog/a-message-from-expels-co-founders/,2023,Qtr 2,June,10
Exterro,Private Equity,United States,886,100,1901,Legal,24,2023,Qtr 1,February,1,1,2,3%,1,Normal,2023,Portland,,https://www.oregonlive.com/silicon-forest/2023/01/oregon-software-company-exterro-lays-off-two-dozen-employees-after-buying-zapproved.html,2023,Qtr 1,February,2
ezCater,Series D,United States,1916,319,3875,Food,400,2020,Qtr 2,April,7,7,4,44%,2,Normal,2020,Boston,,https://www.axios.com/ezcater-corporate-catering-unicorn-lays-off-hundreds-084d76ff-45fc-4011-8121-e938924e3819.html,2020,Qtr 2,April,8
FabHotels,Series B,India,1924,48,3994,Travel,80,2020,Qtr 1,March,30,30,3,20%,1,Normal,2020,New Delhi,Non-U.S.,https://entrackr.com/2020/04/exclusive-fabhotels-lays-off-80-employees-slashes-salary/,2020,Qtr 2,April,10
Fable,Series A,Canada,706,12,1190,Other,13,2023,Qtr 3,July,31,31,7,9%,3,Normal,2023,Toronto,Non-U.S.,https://betakit.com/canadian-startup-struggles-continue-as-silofit-closes-up-shop-top-hat-and-fable-cut-staff/,2023,Qtr 3,August,5
Fabric,Series C,United States,1089,336,3016,Logistics,120,2022,Qtr 3,July,13,13,7,40%,3,Normal,2022,New York City,,https://techcrunch.com/2022/07/13/fabric-lays-off-40-of-staff-as-it-shifts-strategy-from-service-to-platform/,2022,Qtr 3,July,13
Fabric,Series C,United States,451,336,534,Logistics,30,2024,Qtr 2,April,11,11,4,15%,2,Normal,2024,New York City,,https://www.calcalistech.com/ctechnews/article/hyfcqfhlr,2024,Qtr 2,April,12
Facily,Series D,Brazil,1173,502,3363,Retail,260,2022,Qtr 2,April,20,20,4,30%,2,Normal,2022,Sao Paulo,Non-U.S.,https://startups.com.br/noticias/brazilian-e-commerce-firm-facily-slashes-workforce-by-30/,2022,Qtr 2,April,28
Faire,Series G,United States,613,1700,932,Retail,250,2023,Qtr 4,November,1,1,11,20%,4,Normal,2023,SF Bay Area,,https://www.businessinsider.com/wholesale-startup-faire-lays-off-another-250-employees-2023-11,2023,Qtr 4,November,2
Faire,Series G,United States,992,1700,2609,Retail,84,2022,Qtr 4,October,18,18,10,7%,4,Normal,2022,SF Bay Area,,https://www.theinformation.com/briefings/e-commerce-layoff-tally-mounts-with-faire-affirm-cuts,2022,Qtr 4,November,4
FanClash,Series B,India,829,50,1608,Consumer,100,2023,Qtr 1,March,30,30,3,75%,1,Normal,2023,Gurugram,Non-U.S.,https://inc42.com/buzz/exclusive-sequoia-backed-fanclash-fires-75-workforce-within-a-year-of-raising-40-mn/,2023,Qtr 1,March,31
FarEye,Series E,India,1122,150,3204,Logistics,250,2022,Qtr 2,June,10,10,6,30%,2,Normal,2022,New Delhi,Non-U.S.,https://inc42.com/buzz/exclusive-dragoneer-backed-fareye-lays-off-250-employees/,2022,Qtr 2,June,11
Farfetch,Acquired,United Kingdom,506,1700,625,Retail,2000,2024,Qtr 1,February,16,16,2,25%,1,Major,2024,London,Non-U.S.,https://www.drapersonline.com/news/farfetch-to-cut-up-to-30-jobs,2024,Qtr 1,February,17
Fate Therapeutics,Post-IPO,United States,909,1200,2141,Healthcare,315,2023,Qtr 1,January,9,9,1,57%,1,Normal,2023,San Diego,,"https://www.sandiegouniontribune.com/business/story/2023-01-09/san-diegos-fate-therapeutics-lays-off-315-employees-more-than-half-of-its-workforce#:~:text=Fate%20Therapeutics%2C%20a%20San%20Diego,collaboration%20agreement%20with%20Janssen%20Biotech",2023,Qtr 1,January,13
Fetch,Series E,United States,845,581,1674,Retail,100,2023,Qtr 1,March,14,14,3,10%,1,Normal,2023,Madison,,https://www.theinformation.com/articles/softbank-backed-fetch-rewards-cuts-staff-amid-shopping-slowdown?rc=yjxoek,2023,Qtr 1,March,15
Fi.Money,Series C,India,648,137,1023,Finance,30,2023,Qtr 3,September,27,27,9,10%,3,Normal,2023,Bengaluru,Non-U.S.,https://entrackr.com/2023/09/neobank-fi-lays-off-10-of-workforce/,2023,Qtr 3,September,28
Fifth Season,Series B,United States,982,35,2564,Food,100,2022,Qtr 4,October,28,28,10,100%,4,Normal,2022,Pittsburgh,,https://www.bizjournals.com/pittsburgh/news/2022/10/29/vertical-farming-startup-fifth-season-shuts-down.html,2022,Qtr 4,October,30
Figure,Unknown,United States,711,1500,1205,Crypto,90,2023,Qtr 3,July,26,26,7,20%,3,Normal,2023,SF Bay Area,,https://www.bloomberg.com/news/articles/2023-07-28/mike-cagney-s-figure-lays-off-20-of-staff-amid-ipo-plans#xj4y7vzkg,2023,Qtr 3,July,29
Finder,Unknown,Australia,501,30,617,Retail,60,2024,Qtr 1,February,21,21,2,17%,1,Normal,2024,Sydney,Non-U.S.,https://www.startupdaily.net/topic/business/finder-cuts-staffing-for-the-3rd-time-in-a-year-shedding-60-jobs/,2024,Qtr 1,February,22
Finite State,Series B,United States,1115,49,3173,Security,16,2022,Qtr 2,June,17,17,6,20%,2,Normal,2022,Columbus,,https://www.bizjournals.com/columbus/inno/stories/news/2022/06/17/startup-finite-state-layoffs.html,2022,Qtr 2,June,18
Finleap Connect,Series A,Germany,1102,22,3085,Finance,14,2022,Qtr 2,June,30,30,6,10%,2,Normal,2022,Hamburg,Non-U.S.,https://paymentandbanking.com/open-banking-anbieter-finleap-connect-vollzieht-wechsel-an-der-management-spitze/,2022,Qtr 3,July,1
Fireblocks,Series E,United States,515,1000,654,Crypto,20,2024,Qtr 1,February,7,7,2,3%,1,Normal,2024,New York City,,https://www.calcalistech.com/ctechnews/article/rjkvszzit,2024,Qtr 1,February,8
Fireblocks,Series E,United States,867,1000,1776,Crypto,30,2023,Qtr 1,February,20,20,2,5%,1,Normal,2023,New York City,,https://www.calcalistech.com/ctechnews/article/rksbjrxro,2023,Qtr 1,February,22
First Mode,Acquired,United States,537,9,738,Transportation,48,2024,Qtr 1,January,16,16,1,20%,1,Normal,2024,Seattle,,https://www.geekwire.com/2024/first-mode-reduces-workforce-revises-hybrid-trucks/,2024,Qtr 1,January,18
Fittr,Series A,India,857,13,1715,Fitness,30,2023,Qtr 1,March,2,2,3,11%,1,Normal,2023,Pune,Non-U.S.,https://inc42.com/buzz/exclusive-fittr-lays-off-11-of-workforce-after-losses-pile-up/,2023,Qtr 1,March,4
Five9,Post-IPO,United States,320,862,330,Support,190,2024,Qtr 3,August,20,20,8,7%,3,Normal,2024,SF Bay Area,,https://www.crn.com/news/cloud/2024/five9-plans-7-percent-workforce-layoffs,2024,Qtr 3,August,21
Five9,Post-IPO,United States,94,862,65,Support,123,2025,Qtr 2,April,3,3,4,4%,2,Normal,2025,SF Bay Area,,https://www.marketwatch.com/story/five9-to-cut-4-of-workforce-cd4da325,2025,Qtr 2,April,17
Fiverr,Post-IPO,Israel,1076,111,2948,Other,60,2022,Qtr 3,July,26,26,7,8%,3,Normal,2022,Tel Aviv,Non-U.S.,https://en.globes.co.il/en/article-fiverr-lays-off-60-including-30-employees-in-israel-1001419413,2022,Qtr 3,July,26
Flexe,Series D,United States,545,263,783,Logistics,99,2024,Qtr 1,January,8,8,1,38%,1,Normal,2024,Seattle,,https://www.geekwire.com/2024/warehousing-and-logistics-startup-flexe-cuts-38-of-workforce-in-latest-layoffs/,2024,Qtr 1,January,9
Flexe,Series D,United States,649,263,1025,Logistics,131,2023,Qtr 3,September,26,26,9,33%,3,Normal,2023,Seattle,,https://www.geekwire.com/2023/seattle-warehousing-startup-flexe-lays-off-33-of-workforce-amid-freight-industry-slowdown/,2023,Qtr 3,September,27
Flexport,Series E,United States,907,2400,2108,Logistics,640,2023,Qtr 1,January,11,11,1,20%,1,Normal,2023,SF Bay Area,,https://www.cnbc.com/2023/01/11/flexport-to-lay-off-20percent-of-its-global-workforce.html,2023,Qtr 1,January,11
Flink,Series B,Germany,774,1000,1428,Food,100,2023,Qtr 2,May,24,24,5,16%,2,Normal,2023,Berlin,Non-U.S.,https://www.businessinsider.de/gruenderszene/food/uebernahme-durch-getir-vom-tisch-flink-findet-neues-investorengeld-bewertung-sinkt-massiv/,2023,Qtr 2,May,25
Flink,Series B,Germany,804,1000,1531,Food,8000,2023,Qtr 2,April,24,24,4,40%,2,Major,2023,Berlin,Non-U.S.,https://www.manager-magazin.de/unternehmen/tech/flink-lieferdienst-hat-still-und-leise-8000-jobs-abgeschafft-a-caa29cb9-82b5-4d1e-83ca-a29efaccd25d,2023,Qtr 2,April,25
Flipboard,Unknown,United States,994,235,2615,Media,24,2022,Qtr 4,October,16,16,10,21%,4,Normal,2022,SF Bay Area,,https://www.axios.com/2022/10/17/flipboard-layoffs-21-percent-staff,2022,Qtr 4,October,21
Flipkart,Acquired,India,545,12900,781,Retail,1100,2024,Qtr 1,January,8,8,1,5%,1,Major,2024,Bengaluru,Non-U.S.,https://www.republicworld.com/business/industry/flipkart-reportedly-to-lay-off-over-1000-employees/,2024,Qtr 1,January,13
Flock Freight,Series D,United States,818,399,1580,Logistics,45,2023,Qtr 2,April,10,10,4,8%,2,Normal,2023,San Diego,,https://www.freightwaves.com/news/flock-freight-under-fire-insiders-recount-toxic-work-culture-leadership-failures,2023,Qtr 2,May,19
Flockjay,Series A,United States,1412,14,3431,Education,37,2021,Qtr 3,August,24,24,8,50%,3,Normal,2021,SF Bay Area,,https://techcrunch.com/2021/08/24/flockjay-cuts-at-least-half-of-its-workforce-as-it-pivots-away-from-bootcamps-into-b2b-saas/,2021,Qtr 3,August,25
Flutterwave,Unknown,Nigeria,377,509,413,Finance,30,2024,Qtr 2,June,24,24,6,3%,2,Normal,2024,Lagos,Non-U.S.,https://techcabal.com/2024/06/24/flutterwave-lays-off-3-of-its-workforce/,2024,Qtr 2,June,26
Flyhomes,Series C,United States,1082,310,2979,Real Estate,200,2022,Qtr 3,July,20,20,7,20%,3,Normal,2022,Seattle,,https://www.geekwire.com/2022/seattle-real-estate-startup-flyhomes-cuts-20-of-staff-citing-uncertain-economic-conditions/,2022,Qtr 3,July,21
Flyhomes,Series C,United States,970,310,2484,Real Estate,300,2022,Qtr 4,November,9,9,11,40%,4,Normal,2022,Seattle,,https://www.geekwire.com/2022/flyhomes-does-another-round-of-layoffs-as-housing-market-hurts-real-estate-tech-companies/,2022,Qtr 4,November,10
Flytedesk,Seed,United States,1936,4,4089,Marketing,4,2020,Qtr 1,March,18,18,3,20%,1,Normal,2020,Boulder,,https://businessden.com/2020/03/18/boulder-advertising-startup-flytedesk-lays-off-staff-amid-coronavirus/,2020,Qtr 2,April,1
Flywheel Sports,Acquired,United States,1934,120,4076,Fitness,784,2020,Qtr 1,March,20,20,3,98%,1,Normal,2020,New York City,,https://stayfit305.com/solidcore-and-flywheel-announce-layoffs-as-a-result-of-covid-19/,2020,Qtr 2,April,10
Flywire,Series E,United States,1886,263,3666,Finance,60,2020,Qtr 2,May,7,7,5,12%,2,Normal,2020,Boston,,https://www.americaninno.com/boston/inno-news-boston/fintech-startup-flywire-downsizes-12-percent-of-workforce/,2020,Qtr 2,May,8
FNZ,Private Equity,United Kingdom,731,1400,1278,Finance,1000,2023,Qtr 3,July,6,6,7,15%,3,Normal,2023,London,Non-U.S.,https://citywire.com/new-model-adviser/news/exclusive-fnz-to-make-1000-redundancies-globally/a2421080,2023,Qtr 3,July,7
Food52,Acquired,United States,1129,176,3247,Food,21,2022,Qtr 2,June,3,3,6,15%,2,Normal,2022,New York City,,https://www.adweek.com/media/food52-lays-off-15-of-its-staff-in-a-second-round-of-cuts/,2022,Qtr 2,June,7
Food52,Acquired,United States,1185,176,3376,Food,20,2022,Qtr 2,April,8,8,4,10%,2,Normal,2022,New York City,,https://www.businessinsider.com/food52-layoffs-employees-shocked-chernin-group-investment-2022-4,2022,Qtr 2,May,8
Foodsby,Series B,United States,1930,20,4059,Food,87,2020,Qtr 1,March,24,24,3,67%,1,Normal,2020,Minneapolis,,https://www.americaninno.com/minne/inno-news-minne/layoffs-at-foodsby-after-drop-in-business-from-coronavirus/,2020,Qtr 1,March,29
ForeScout,Acquired,United States,908,125,2127,Security,100,2023,Qtr 1,January,10,10,1,10%,1,Normal,2023,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/hkyo39k9o,2023,Qtr 1,January,10
Forma.ai,Series B,Canada,1082,58,2986,Sales,15,2022,Qtr 3,July,20,20,7,9%,3,Normal,2022,Toronto,Non-U.S.,Internal memo,2022,Qtr 3,July,26
Forto,Series D,United States,968,593,2464,Logistics,60,2022,Qtr 4,November,11,11,11,8%,4,Normal,2022,Berlin,Non-U.S.,https://www.deutsche-startups.de/2022/11/11/forto-delivery-hero-stuffle-burnout-hr-startups/,2023,Qtr 1,January,4
Forward,Series C,United States,1903,100,3777,Healthcare,10,2020,Qtr 2,April,20,20,4,3%,2,Normal,2020,SF Bay Area,,https://www.businessinsider.com/forward-primary-care-startup-layoffs-amid-coronavirus-pandemic-2020-4,2020,Qtr 2,April,21
Forward,Series E,United States,236,325,215,Healthcare,200,2024,Qtr 4,November,12,12,11,100%,4,Normal,2024,SF Bay Area,,https://www.theinformation.com/articles/forward-startup-behind-doctor-in-box-healthcare-modules-to-shut-down,2024,Qtr 4,November,13
FourKites,Series D,United States,1060,201,2836,Logistics,60,2022,Qtr 3,August,11,11,8,8%,3,Normal,2022,Chicago,,https://techcrunch.com/2022/08/26/supply-chain-startup-fourkites-which-recently-laid-off-workers-raises-30m/,2022,Qtr 3,August,27
Foursquare,Series G,United States,409,390,464,Marketing,105,2024,Qtr 2,May,23,23,5,25%,2,Normal,2024,New York City,,https://techcrunch.com/2024/05/23/foursquare-just-laid-off-105-employees/,2024,Qtr 2,May,24
Foxtrot,Series C,United States,1017,166,2682,Food,26,2022,Qtr 3,September,23,23,9,4%,3,Normal,2022,Chicago,,https://www.chicagobusiness.com/retail/foxtrot-lays-26-employees,2022,Qtr 3,September,25
Freenome,Series E,United States,439,1400,516,Healthcare,100,2024,Qtr 2,April,23,23,4,20%,2,Normal,2024,SF Bay Area,,https://www.sfchronicle.com/bayarea/article/tech-layoffs-freenome-19421173.php,2024,Qtr 2,April,24
Freetrade,Unknown,United Kingdom,1122,133,3207,Finance,45,2022,Qtr 2,June,10,10,6,15%,2,Normal,2022,London,Non-U.S.,https://www.altfi.com/article/9362_exclusive-freetrade-announces-job-cuts-of-up-to-15-of-staff,2022,Qtr 2,June,10
Freightos,Post-IPO,United States,725,118,1254,Logistics,50,2023,Qtr 3,July,12,12,7,13%,3,Normal,2023,Miami,,https://sourcingjournal.com/topics/logistics/freightos-layoffs-13-percent-persistently-weak-freight-market-job-cuts-costs-445086/,2023,Qtr 3,July,13
FreshBooks,Series B,Canada,1902,75,3765,Finance,38,2020,Qtr 2,April,21,21,4,9%,2,Normal,2020,Toronto,Non-U.S.,https://betakit.com/freshbooks-reduces-headcount-by-9-ceo-says-company-remains-in-growth-mode-despite-covid-19/,2020,Qtr 2,April,22
FreshBooks,Unknown,Canada,838,331,1648,Finance,80,2023,Qtr 1,March,21,21,3,10%,1,Normal,2023,Toronto,Non-U.S.,https://betakit.com/freshbooks-lays-off-10-percent-of-staff/,2023,Qtr 1,March,22
FreshDirect,Acquired,United States,543,280,763,Food,100,2024,Qtr 1,January,10,10,1,3%,1,Normal,2024,New York City,,https://www.grocerydive.com/news/freshdirect-restructures-corporate-division-cuts-jobs/704251/,2024,Qtr 1,January,30
Freshworks,Post-IPO,United States,241,484,226,Support,660,2024,Qtr 4,November,7,7,11,13%,4,Normal,2024,SF Bay Area,,https://entrackr.com/news/freshworks-announces-13-layoffs-400-mn-stock-buyback-and-q3-results-7561767,2024,Qtr 4,November,7
Freshworks,Post-IPO,United States,843,484,1661,Support,114,2023,Qtr 1,March,16,16,3,2%,1,Normal,2023,SF Bay Area,,https://www.moneycontrol.com/news/business/freshworks-undertakes-another-round-of-layoffs-10259901.html,2023,Qtr 1,March,16
Freshworks,Post-IPO,United States,934,484,2219,Support,90,2022,Qtr 4,December,15,15,12,2%,4,Normal,2022,SF Bay Area,,https://inc42.com/buzz/facing-macroeconomic-headwinds-freshworks-trims-nearly-2-workforce/,2022,Qtr 4,December,15
Frontdesk,Unknown,United States,1913,3,3831,Travel,35,2020,Qtr 2,April,10,10,4,16%,2,Normal,2020,Milwaukee,,https://www.linkedin.com/posts/jessedepinto_today-was-one-of-the-hardest-days-weve-experienced-activity-6654491888835448832-rAdg/,2020,Qtr 2,April,11
